signal_id,signal_type,account_id,account_name,domain,region,timestamp,severity_hint,detail
SIG011,job_change,,Saffron Grid,saffrongrid.ai,US-West,2026-08-12T11:24:00Z,medium,"{""person"": ""Riley Kim"", ""new_title"": ""Chief Architect"", ""previous_company"": ""Elm Pay"", ""direction"": ""departed""}"
SIG012,job_change,,Urchin Networks,urchinnetworks.io,US-Central,2026-08-11T16:31:00Z,medium,"{""person"": ""Avery Smith"", ""new_title"": ""Staff ML Engineer"", ""previous_company"": ""Bastion Systems"", ""direction"": ""arrived""}"
SIG013,job_change,,Alabaster Data,alabasterdata.io,US-East,2026-08-10T11:32:00Z,high,"{""person"": ""Morgan Smith"", ""new_title"": ""Staff ML Engineer"", ""previous_company"": ""Slate Intelligence"", ""direction"": ""arrived""}"
SIG014,funding_event,A283,Yarrow Build,yarrowbuild.ai,US-East,2026-08-10T08:33:00Z,high,"{""round"": ""Seed Extension"", ""amount_usd_m"": 40, ""announced_date"": ""2026-08-08""}"
SIG015,job_change,A221,Sentinel Mind,sentinelmind.co,EMEA,2026-08-10T09:33:00Z,medium,"{""person"": ""Casey Nguyen"", ""new_title"": ""Staff ML Engineer"", ""previous_company"": ""Elder Pay"", ""direction"": ""departed""}"
SIG016,funding_event,A204,Hollow Labs,hollowlabs.ai,EMEA,2026-08-13T15:36:00Z,medium,"{""round"": ""Series B"", ""amount_usd_m"": 40, ""announced_date"": ""2026-08-09""}"
SIG017,funding_event,,Bastion Systems,bastionsystems.co,EMEA,2026-08-14T15:03:00Z,low,"{""round"": ""Series B"", ""amount_usd_m"": 15, ""announced_date"": ""2026-08-15""}"
SIG018,usage_spike,,Cedar Defense,cedardefense.com,APAC,2026-08-11T11:57:00Z,high,"{""endpoint"": ""/v1/chat/completions"", ""requests_7d"": 3551, ""pct_increase_vs_baseline"": 78, ""is_customer"": true}"
SIG019,job_change,,Onyx Genomics,onyxgenomics.dev,US-East,2026-08-16T13:01:00Z,medium,"{""person"": ""Avery Nguyen"", ""new_title"": ""VP Infrastructure"", ""previous_company"": ""Umber Systems"", ""direction"": ""departed""}"
SIG020,competitor_evaluation,A124,Hemp Intelligence,hempintelligence.ai,US-Central,2026-08-16T14:43:00Z,high,"{""competitor"": ""Replicate"", ""action"": ""docs_read"", ""days_since_last_signal"": 26}"
SIG021,usage_spike,,Meridian Robotics,meridianrobotics.ai,US-East,2026-08-13T11:53:00Z,low,"{""endpoint"": ""/v1/chat/completions"", ""requests_7d"": 40160, ""pct_increase_vs_baseline"": 354, ""is_customer"": true}"
SIG022,funding_event,,Umber Vision,umbervision.com,US-Central,2026-08-13T11:22:00Z,high,"{""round"": ""Series D"", ""amount_usd_m"": 25, ""announced_date"": ""2026-08-14""}"
SIG023,job_change,A152,Nook Flow,nookflow.co,US-East,2026-08-15T09:05:00Z,high,"{""person"": ""Casey Garcia"", ""new_title"": ""Chief Architect"", ""previous_company"": ""Ironwood Scale"", ""direction"": ""departed""}"
SIG024,funding_event,A047,Tundra Labs,tundralabs.ai,US-Central,2026-08-13T13:48:00Z,high,"{""round"": ""Series A"", ""amount_usd_m"": 25, ""announced_date"": ""2026-08-09""}"
SIG025,competitor_evaluation,A230,Chert Scale,chertscale.com,APAC,2026-08-14T16:26:00Z,low,"{""competitor"": ""OpenAI"", ""action"": ""pricing_page_visit"", ""days_since_last_signal"": 12}"
SIG026,funding_event,A167,Alabaster Mind,alabastermind.com,EMEA,2026-08-10T12:26:00Z,high,"{""round"": ""Series A"", ""amount_usd_m"": 120, ""announced_date"": ""2026-08-11""}"
SIG027,funding_event,A087,Gossamer Defense,gossamerdefense.ai,US-Central,2026-08-11T10:17:00Z,high,"{""round"": ""Series C"", ""amount_usd_m"": 60, ""announced_date"": ""2026-08-10""}"
SIG028,intent_topic,A223,Dolomite Systems,dolomitesystems.dev,EMEA,2026-08-13T12:30:00Z,low,"{""topic"": ""GPU alternatives"", ""source"": ""G2"", ""intensity_score"": 0.94}"
SIG029,job_change,,Vermilion Flow,vermilionflow.co,US-East,2026-08-12T08:25:00Z,high,"{""person"": ""Avery Garcia"", ""new_title"": ""VP Infrastructure"", ""previous_company"": ""Cedar Networks"", ""direction"": ""departed""}"
SIG030,intent_topic,A070,Hatchet Health,hatchethealth.io,APAC,2026-08-12T17:44:00Z,medium,"{""topic"": ""open-source LLM hosting"", ""source"": ""G2"", ""intensity_score"": 0.42}"
SIG031,intent_topic,A164,Lupine Scale,lupinescale.com,EMEA,2026-08-15T18:31:00Z,medium,"{""topic"": ""GPU alternatives"", ""source"": ""web_traffic"", ""intensity_score"": 0.49}"
SIG032,competitor_evaluation,,Lichen Cloud,lichencloud.dev,US-West,2026-08-14T10:43:00Z,low,"{""competitor"": ""Replicate"", ""action"": ""docs_read"", ""days_since_last_signal"": 15}"
SIG033,intent_topic,,Pulse Grid,pulsegrid.co,US-West,2026-08-11T12:42:00Z,medium,"{""topic"": ""model serving latency"", ""source"": ""web_traffic"", ""intensity_score"": 0.35}"
SIG034,competitor_evaluation,,Russet Defense,russetdefense.co,APAC,2026-08-16T14:34:00Z,low,"{""competitor"": ""Together AI"", ""action"": ""pricing_page_visit"", ""days_since_last_signal"": 4}"
SIG035,competitor_evaluation,,Iris Secure,irissecure.dev,US-East,2026-08-15T18:41:00Z,high,"{""competitor"": ""Together AI"", ""action"": ""comparison_search"", ""days_since_last_signal"": 4}"
SIG036,job_change,A133,Fig Grid,figgrid.io,APAC,2026-08-14T16:35:00Z,medium,"{""person"": ""Riley Patel"", ""new_title"": ""Director of ML Platform"", ""previous_company"": ""Nacre Defense"", ""direction"": ""arrived""}"
SIG037,funding_event,A013,Tarragon Scale,tarragonscale.io,US-Central,2026-08-10T12:26:00Z,low,"{""round"": ""Series A"", ""amount_usd_m"": 200, ""announced_date"": ""2026-08-10""}"
SIG038,funding_event,A176,Grove Grid,grovegrid.ai,US-East,2026-08-16T11:33:00Z,high,"{""round"": ""Series C"", ""amount_usd_m"": 60, ""announced_date"": ""2026-08-09""}"
SIG039,intent_topic,A232,Zinnia Mind,zinniamind.dev,US-East,2026-08-10T12:02:00Z,low,"{""topic"": ""LLM inference cost optimization"", ""source"": ""G2"", ""intensity_score"": 0.74}"
SIG040,competitor_evaluation,,Lark Health,larkhealth.dev,US-West,2026-08-11T13:35:00Z,high,"{""competitor"": ""Replicate"", ""action"": ""docs_read"", ""days_since_last_signal"": 26}"
SIG041,job_change,A095,Parallax Genomics,parallaxgenomics.io,US-West,2026-08-15T18:27:00Z,high,"{""person"": ""Jordan Kim"", ""new_title"": ""Head of AI"", ""previous_company"": ""Kelp Defense"", ""direction"": ""departed""}"
SIG042,job_change,A110,Helix Grid,helixgrid.dev,US-Central,2026-08-12T09:36:00Z,low,"{""person"": ""Avery Nguyen"", ""new_title"": ""CTO"", ""previous_company"": ""Brush Flow"", ""direction"": ""departed""}"
SIG043,competitor_evaluation,A251,Solace Build,solacebuild.dev,EMEA,2026-08-15T13:38:00Z,high,"{""competitor"": ""Anyscale"", ""action"": ""comparison_search"", ""days_since_last_signal"": 19}"
SIG044,funding_event,A181,Quinoa Scale,quinoascale.ai,EMEA,2026-08-14T10:52:00Z,high,"{""round"": ""Seed Extension"", ""amount_usd_m"": 85, ""announced_date"": ""2026-08-09""}"
SIG045,usage_spike,,Yew Cloud,yewcloud.io,US-Central,2026-08-11T13:44:00Z,medium,"{""endpoint"": ""/v1/embeddings"", ""requests_7d"": 25958, ""pct_increase_vs_baseline"": 254, ""is_customer"": true}"
SIG046,funding_event,A295,Garnet Networks,garnetnetworks.io,US-Central,2026-08-13T10:31:00Z,medium,"{""round"": ""Seed Extension"", ""amount_usd_m"": 25, ""announced_date"": ""2026-08-15""}"
SIG047,intent_topic,A096,Quill Flow,quillflow.io,US-Central,2026-08-16T15:39:00Z,low,"{""topic"": ""GPU alternatives"", ""source"": ""Harmonic"", ""intensity_score"": 0.63}"
SIG048,competitor_evaluation,A197,Osprey Grid,ospreygrid.ai,APAC,2026-08-14T18:31:00Z,high,"{""competitor"": ""Replicate"", ""action"": ""comparison_search"", ""days_since_last_signal"": 23}"
SIG049,usage_spike,,Urchin Secure,urchinsecure.com,APAC,2026-08-16T11:18:00Z,low,"{""endpoint"": ""/v1/chat/completions"", ""requests_7d"": 15235, ""pct_increase_vs_baseline"": 315, ""is_customer"": true}"
SIG050,competitor_evaluation,A235,Heron Systems,heronsystems.co,US-Central,2026-08-15T15:35:00Z,low,"{""competitor"": ""Anyscale"", ""action"": ""pricing_page_visit"", ""days_since_last_signal"": 9}"
