account_id,account_name,domain,industry,arr_band,region,is_customer,segment_hint
A057,Feldspar Systems,feldsparsystems.dev,E-commerce,<$1M,US-Central,False,Enterprise-Expansion
A058,Xanthic Vision,xanthicvision.ai,Logistics,$1M-$10M,EMEA,False,Enterprise-Expansion
A059,Pine Secure,pinesecure.dev,DevTools,$50M-$250M,APAC,True,Enterprise-Expansion
A060,Quartz Flow,quartzflow.dev,Education,$10M-$50M,EMEA,False,Enterprise-Expansion
A061,Ivory Flow,ivoryflow.co,LegalTech,$1M-$10M,APAC,True,Enterprise-Expansion
A062,Basalt Vision,basaltvision.io,Telecom,$10M-$50M,US-East,False,AI-Native
A063,Glacier AI,glacierai.io,Manufacturing,$250M+,APAC,True,Enterprise-Expansion
A064,Beryl Defense,beryldefense.co,Manufacturing,$50M-$250M,US-West,False,AI-Native
A065,Vertex Cloud,vertexcloud.io,HealthTech,$250M+,EMEA,False,AI-Native
A066,Sentinel Networks,sentinelnetworks.co,Telecom,$250M+,US-West,False,Enterprise-Expansion
A067,Zebra Grid,zebragrid.co,InsurTech,$1M-$10M,APAC,False,Enterprise-Expansion
A068,Junco Health,juncohealth.dev,Manufacturing,$1M-$10M,US-Central,False,Enterprise-Expansion
A069,Apex Build,apexbuild.ai,E-commerce,$10M-$50M,US-West,True,AI-Native
A070,Hatchet Health,hatchethealth.io,Energy,$1M-$10M,APAC,True,Enterprise-Expansion
A071,Ipecac Networks,ipecacnetworks.com,Cybersecurity,$50M-$250M,EMEA,False,AI-Native
A072,Rosemary Scale,rosemaryscale.com,E-commerce,$10M-$50M,EMEA,False,Enterprise-Expansion
A073,Hemp Genomics,hempgenomics.io,Manufacturing,$1M-$10M,APAC,False,Enterprise-Expansion
A074,Topaz AI,topazai.ai,Telecom,$50M-$250M,EMEA,False,Enterprise-Expansion
A075,Tundra Genomics,tundragenomics.co,Education,$250M+,US-East,True,AI-Native
A076,Ecru Data,ecrudata.io,AI/ML,$10M-$50M,EMEA,False,Enterprise-Expansion
A077,Xylem Networks,xylemnetworks.ai,LegalTech,$50M-$250M,APAC,False,Enterprise-Expansion
A078,Hollow Systems,hollowsystems.com,Energy,$250M+,EMEA,True,Enterprise-Expansion
A079,Almanac Systems,almanacsystems.com,Cybersecurity,$1M-$10M,US-East,True,AI-Native
A080,Evergreen Data,evergreendata.com,Education,$1M-$10M,EMEA,False,Enterprise-Expansion
A081,Moss Secure,mosssecure.dev,Energy,<$1M,APAC,False,Enterprise-Expansion
A082,Vantage Defense,vantagedefense.ai,Education,$50M-$250M,US-East,False,AI-Native
A083,Apex Defense,apexdefense.com,Energy,$10M-$50M,US-West,True,AI-Native
A084,Grove Genomics,grovegenomics.ai,FinTech,$250M+,APAC,False,AI-Native
A085,Cinnabar Intelligence,cinnabarintelligence.co,E-commerce,$50M-$250M,US-East,False,Enterprise-Expansion
A086,Olive Robotics,oliverobotics.dev,LegalTech,$250M+,US-Central,False,Enterprise-Expansion
A087,Gossamer Defense,gossamerdefense.ai,HR Tech,$1M-$10M,US-Central,True,Enterprise-Expansion
A088,Kelp Health,kelphealth.dev,Education,$50M-$250M,EMEA,False,AI-Native
A089,Vermilion Vision,vermilionvision.co,Cybersecurity,$10M-$50M,US-West,False,Enterprise-Expansion
A090,Onyx Pay,onyxpay.com,Logistics,$1M-$10M,APAC,True,AI-Native
A091,Xanthic Intelligence,xanthicintelligence.io,Energy,$50M-$250M,APAC,False,Enterprise-Expansion
A092,Quanta Systems,quantasystems.io,Media,$1M-$10M,US-Central,False,Enterprise-Expansion
A093,Quagga Genomics,quaggagenomics.ai,Media,$250M+,APAC,False,Enterprise-Expansion
A094,Lupine Pay,lupinepay.ai,Cybersecurity,<$1M,US-Central,False,Enterprise-Expansion
A095,Parallax Genomics,parallaxgenomics.io,Cybersecurity,$50M-$250M,US-West,False,Enterprise-Expansion
A096,Quill Flow,quillflow.io,E-commerce,$1M-$10M,US-Central,False,AI-Native
A097,Ginkgo Data,ginkgodata.com,AI/ML,$250M+,US-Central,False,AI-Native
A098,Urchin Cloud,urchincloud.dev,DevTools,$50M-$250M,APAC,False,Enterprise-Expansion
A099,Fern Secure,fernsecure.ai,HR Tech,$50M-$250M,US-East,True,AI-Native
A100,Vine Intelligence,vineintelligence.dev,Telecom,<$1M,US-East,False,AI-Native
A101,Oregano Build,oreganobuild.io,FinTech,$250M+,US-East,False,AI-Native
A102,Drupe Scale,drupescale.co,DevTools,$250M+,EMEA,False,Enterprise-Expansion
A103,Purslane Labs,purslanelabs.com,LegalTech,$1M-$10M,APAC,False,Enterprise-Expansion
A104,Meridian Secure,meridiansecure.io,Logistics,<$1M,US-West,False,AI-Native
A105,Xanthic Networks,xanthicnetworks.co,DevTools,<$1M,APAC,False,Enterprise-Expansion
A106,Plume Networks,plumenetworks.io,InsurTech,$10M-$50M,US-East,False,Enterprise-Expansion
A107,Halcyon Genomics,halcyongenomics.io,InsurTech,$10M-$50M,US-West,False,AI-Native
A108,Anchor Secure,anchorsecure.dev,Energy,$250M+,US-Central,False,Enterprise-Expansion
A109,Understory Scale,understoryscale.dev,Logistics,$50M-$250M,US-Central,False,AI-Native
A110,Helix Grid,helixgrid.dev,DevTools,<$1M,US-Central,True,AI-Native
A111,Rosemary Defense,rosemarydefense.ai,Education,<$1M,US-East,False,Enterprise-Expansion
A112,Chert Networks,chertnetworks.io,Education,$50M-$250M,APAC,False,AI-Native
A113,Pyrite Mind,pyritemind.ai,E-commerce,<$1M,EMEA,False,Enterprise-Expansion
A114,Alabaster Intelligence,alabasterintelligence.co,HR Tech,$250M+,US-Central,True,Enterprise-Expansion
A115,Heron Vision,heronvision.ai,FinTech,$50M-$250M,US-Central,True,Enterprise-Expansion
A116,Alabaster Labs,alabasterlabs.dev,E-commerce,$250M+,US-West,False,Enterprise-Expansion
A117,Catalyst Flow,catalystflow.dev,HealthTech,$10M-$50M,US-Central,False,Enterprise-Expansion
A118,Sentinel AI,sentinelai.io,Energy,$1M-$10M,APAC,False,AI-Native
A119,Lotus Grid,lotusgrid.io,HR Tech,<$1M,APAC,False,AI-Native
A120,Ironwood Intelligence,ironwoodintelligence.dev,Energy,$10M-$50M,US-Central,False,Enterprise-Expansion
A121,Pyrite Health,pyritehealth.dev,HealthTech,$50M-$250M,EMEA,False,AI-Native
A122,Pulse Pay,pulsepay.ai,InsurTech,$250M+,EMEA,False,AI-Native
A123,Plume Build,plumebuild.dev,Telecom,$50M-$250M,APAC,False,Enterprise-Expansion
A124,Hemp Intelligence,hempintelligence.ai,Logistics,$250M+,US-Central,False,Enterprise-Expansion
A125,Acorn Flow,acornflow.dev,Media,$1M-$10M,US-West,False,AI-Native
A126,Zinnia Intelligence,zinniaintelligence.co,Telecom,$1M-$10M,APAC,False,AI-Native
A127,Tundra Robotics,tundrarobotics.ai,HR Tech,<$1M,APAC,False,AI-Native
A128,Elder Networks,eldernetworks.io,Media,$1M-$10M,US-East,True,Enterprise-Expansion
A129,Kindred Vision,kindredvision.co,Telecom,<$1M,APAC,False,Enterprise-Expansion
A130,Ipecac Labs,ipecaclabs.com,Cybersecurity,$10M-$50M,APAC,False,AI-Native
A131,Gossamer Cloud,gossamercloud.co,HealthTech,$10M-$50M,US-East,True,AI-Native
A132,Brush Labs,brushlabs.ai,E-commerce,$50M-$250M,US-Central,False,AI-Native
A133,Fig Grid,figgrid.io,HealthTech,$1M-$10M,APAC,True,Enterprise-Expansion
A134,Evergreen Intelligence,evergreenintelligence.io,Cybersecurity,$50M-$250M,APAC,False,Enterprise-Expansion
A135,Indigo AI,indigoai.ai,Telecom,$250M+,EMEA,False,AI-Native
A136,Ivory Mind,ivorymind.ai,Telecom,$50M-$250M,APAC,False,Enterprise-Expansion
A137,Understory Flow,understoryflow.co,FinTech,$1M-$10M,EMEA,False,Enterprise-Expansion
A138,Rosemary Build,rosemarybuild.com,HR Tech,$50M-$250M,US-Central,False,AI-Native
A139,Oregano Labs,oreganolabs.co,HR Tech,$10M-$50M,APAC,False,Enterprise-Expansion
A140,Zephyr Flow,zephyrflow.ai,Telecom,$1M-$10M,APAC,True,AI-Native
A141,Whetstone Networks,whetstonenetworks.dev,E-commerce,$1M-$10M,US-East,True,Enterprise-Expansion
A142,Brush Grid,brushgrid.io,HealthTech,$250M+,US-West,False,Enterprise-Expansion
A143,Lark Pay,larkpay.ai,Energy,$10M-$50M,EMEA,True,Enterprise-Expansion
A144,Almanac Scale,almanacscale.ai,FinTech,$50M-$250M,APAC,True,Enterprise-Expansion
A145,Lupine Mind,lupinemind.dev,Media,$10M-$50M,US-Central,True,AI-Native
A146,Pyrite AI,pyriteai.dev,E-commerce,$250M+,APAC,False,AI-Native
A147,Nacre Build,nacrebuild.com,HealthTech,<$1M,APAC,True,Enterprise-Expansion
A148,Vermilion Cloud,vermilioncloud.io,InsurTech,$250M+,US-East,False,Enterprise-Expansion
A149,Ipecac Grid,ipecacgrid.io,InsurTech,$50M-$250M,APAC,True,Enterprise-Expansion
A150,Xanthic Pay,xanthicpay.ai,Cybersecurity,$50M-$250M,US-East,False,AI-Native
A151,Knot Cloud,knotcloud.dev,InsurTech,$10M-$50M,US-Central,True,Enterprise-Expansion
A152,Nook Flow,nookflow.co,FinTech,$1M-$10M,US-East,True,AI-Native
A153,Dell Health,dellhealth.dev,Cybersecurity,<$1M,US-West,False,AI-Native
A154,Cardinal Vision,cardinalvision.dev,AI/ML,$10M-$50M,APAC,False,AI-Native
A155,Ipecac Pay,ipecacpay.com,Telecom,<$1M,US-West,False,AI-Native
A156,Jade Health,jadehealth.ai,AI/ML,$1M-$10M,APAC,False,AI-Native
A157,Tundra Grid,tundragrid.com,Energy,<$1M,APAC,False,Enterprise-Expansion
A158,Knot Robotics,knotrobotics.com,Manufacturing,$250M+,APAC,False,AI-Native
A159,Drupe Build,drupebuild.com,AI/ML,$50M-$250M,EMEA,False,Enterprise-Expansion
A160,Vantage Intelligence,vantageintelligence.com,InsurTech,<$1M,EMEA,False,AI-Native
A161,Orbit Data,orbitdata.dev,Telecom,$250M+,APAC,False,Enterprise-Expansion
A162,Fig Build,figbuild.dev,Education,$50M-$250M,EMEA,True,AI-Native
A163,Lotus Flow,lotusflow.co,InsurTech,$1M-$10M,EMEA,False,Enterprise-Expansion
A164,Lupine Scale,lupinescale.com,E-commerce,$50M-$250M,EMEA,False,Enterprise-Expansion
A165,Nest Data,nestdata.com,FinTech,<$1M,EMEA,True,Enterprise-Expansion
A166,Lattice Mind,latticemind.dev,AI/ML,$250M+,US-West,False,AI-Native
A167,Alabaster Mind,alabastermind.com,DevTools,$250M+,EMEA,False,Enterprise-Expansion
A168,Tessera Defense,tesseradefense.io,HealthTech,$50M-$250M,APAC,False,AI-Native
A169,Hazel Genomics,hazelgenomics.com,LegalTech,$10M-$50M,US-Central,False,Enterprise-Expansion
A170,Nutmeg Genomics,nutmeggenomics.dev,InsurTech,$10M-$50M,US-East,True,AI-Native
A171,Mica Build,micabuild.ai,AI/ML,$1M-$10M,US-Central,False,Enterprise-Expansion
A172,Pulse Data,pulsedata.com,Energy,$250M+,US-East,False,Enterprise-Expansion
A173,Cinnabar Networks,cinnabarnetworks.io,E-commerce,$10M-$50M,US-Central,False,AI-Native
A174,Catalyst Data,catalystdata.dev,AI/ML,<$1M,US-West,False,Enterprise-Expansion
A175,Dolomite Intelligence,dolomiteintelligence.co,Media,$10M-$50M,APAC,False,AI-Native
A176,Grove Grid,grovegrid.ai,Telecom,$250M+,US-East,False,Enterprise-Expansion
A177,Pioneer Health,pioneerhealth.dev,AI/ML,<$1M,EMEA,False,Enterprise-Expansion
A178,Xylem Data,xylemdata.ai,E-commerce,<$1M,US-Central,True,Enterprise-Expansion
A179,Feldspar Secure,feldsparsecure.co,Logistics,$1M-$10M,US-West,False,AI-Native
A180,Umber Labs,umberlabs.com,Manufacturing,<$1M,EMEA,False,Enterprise-Expansion
A181,Quinoa Scale,quinoascale.ai,FinTech,$50M-$250M,EMEA,True,Enterprise-Expansion
A182,Marrow Networks,marrownetworks.com,Media,<$1M,APAC,False,Enterprise-Expansion
A183,Vine Robotics,vinerobotics.co,HR Tech,$10M-$50M,US-East,False,AI-Native
A184,Dell Secure,dellsecure.dev,Telecom,<$1M,US-East,False,Enterprise-Expansion
A185,Hazel Data,hazeldata.com,HealthTech,$10M-$50M,US-West,False,AI-Native
A186,Ironwood Systems,ironwoodsystems.co,Manufacturing,$250M+,US-West,False,Enterprise-Expansion
A187,Yew Data,yewdata.com,Manufacturing,$50M-$250M,EMEA,False,Enterprise-Expansion
A188,Beacon Mind,beaconmind.com,DevTools,$50M-$250M,APAC,False,AI-Native
A189,Quartz Systems,quartzsystems.dev,Education,$250M+,APAC,False,Enterprise-Expansion
A190,Saffron Genomics,saffrongenomics.co,InsurTech,$250M+,US-East,False,Enterprise-Expansion
A191,Quagga Robotics,quaggarobotics.com,Manufacturing,<$1M,US-West,False,AI-Native
A192,Zebra Secure,zebrasecure.io,Energy,$50M-$250M,US-East,False,AI-Native
A193,Lichen Mind,lichenmind.co,Media,$10M-$50M,US-Central,True,Enterprise-Expansion
A194,Orbit Vision,orbitvision.dev,Telecom,$50M-$250M,US-East,False,Enterprise-Expansion
A195,Hatchet Vision,hatchetvision.dev,Telecom,$1M-$10M,US-East,False,Enterprise-Expansion
A196,Thorn Data,thorndata.com,DevTools,$250M+,APAC,False,Enterprise-Expansion
A197,Osprey Grid,ospreygrid.ai,AI/ML,$10M-$50M,APAC,False,AI-Native
A198,Xylem Vision,xylemvision.io,Cybersecurity,$1M-$10M,EMEA,False,AI-Native
A199,Spire Cloud,spirecloud.dev,HR Tech,$250M+,APAC,True,Enterprise-Expansion
A200,Cinder Scale,cinderscale.io,HealthTech,$250M+,US-West,False,Enterprise-Expansion
A201,Lichen Health,lichenhealth.dev,DevTools,$50M-$250M,EMEA,False,AI-Native
A202,Whetstone Intelligence,whetstoneintelligence.ai,Telecom,$250M+,US-West,False,Enterprise-Expansion
A203,Plume Scale,plumescale.dev,Media,$1M-$10M,APAC,False,AI-Native
A204,Hollow Labs,hollowlabs.ai,Logistics,<$1M,EMEA,True,Enterprise-Expansion
A205,Caliber Secure,calibersecure.co,InsurTech,$250M+,US-Central,False,Enterprise-Expansion
A206,Osprey Health,ospreyhealth.ai,InsurTech,<$1M,EMEA,False,AI-Native
A207,Umber Robotics,umberrobotics.io,Media,<$1M,US-Central,False,AI-Native
A208,Stride Vision,stridevision.ai,LegalTech,$1M-$10M,US-East,False,AI-Native
A209,Quartz Intelligence,quartzintelligence.co,Manufacturing,$250M+,US-West,True,AI-Native
A210,Quanta Pay,quantapay.io,Logistics,$250M+,APAC,False,AI-Native
A211,Quartz Health,quartzhealth.com,AI/ML,$1M-$10M,US-Central,False,Enterprise-Expansion
A212,Orbit Cloud,orbitcloud.dev,Logistics,<$1M,EMEA,False,AI-Native
A213,Rook Grid,rookgrid.dev,E-commerce,$1M-$10M,US-East,False,AI-Native
A214,Caliber Robotics,caliberrobotics.com,Logistics,$250M+,US-Central,True,Enterprise-Expansion
A215,Pyrite Labs,pyritelabs.ai,DevTools,<$1M,EMEA,False,AI-Native
A216,Grove Health,grovehealth.dev,Energy,$10M-$50M,US-East,False,AI-Native
A217,Iris Genomics,irisgenomics.io,HR Tech,$50M-$250M,APAC,False,AI-Native
A218,Drift Systems,driftsystems.com,DevTools,$1M-$10M,EMEA,True,AI-Native
A219,Helix Vision,helixvision.dev,Media,$250M+,US-Central,False,Enterprise-Expansion
A220,Cascade Flow,cascadeflow.ai,HR Tech,<$1M,US-Central,False,Enterprise-Expansion
A221,Sentinel Mind,sentinelmind.co,Energy,$50M-$250M,EMEA,False,Enterprise-Expansion
A222,Quasar Intelligence,quasarintelligence.ai,InsurTech,$250M+,EMEA,False,AI-Native
A223,Dolomite Systems,dolomitesystems.dev,HR Tech,$1M-$10M,EMEA,False,Enterprise-Expansion
A224,Tessera Systems,tesserasystems.ai,DevTools,$50M-$250M,APAC,False,AI-Native
A225,Jet Labs,jetlabs.dev,Media,$10M-$50M,US-Central,True,AI-Native
A226,Willow Mind,willowmind.io,AI/ML,$1M-$10M,APAC,False,AI-Native
A227,Tundra Systems,tundrasystems.ai,E-commerce,$50M-$250M,US-West,True,AI-Native
A228,Kelp Mind,kelpmind.co,LegalTech,<$1M,US-Central,False,Enterprise-Expansion
A229,Umber Vision,umbervision.io,FinTech,<$1M,US-Central,False,Enterprise-Expansion
A230,Chert Scale,chertscale.com,DevTools,$10M-$50M,APAC,False,AI-Native
A231,Umbra Cloud,umbracloud.com,Manufacturing,$1M-$10M,APAC,False,AI-Native
A232,Zinnia Mind,zinniamind.dev,Logistics,$10M-$50M,US-East,False,AI-Native
A233,Nightingale Mind,nightingalemind.io,FinTech,$1M-$10M,APAC,False,AI-Native
A234,Vermilion AI,vermilionai.dev,Education,$10M-$50M,US-Central,False,AI-Native
A235,Heron Systems,heronsystems.co,Energy,$50M-$250M,US-Central,False,Enterprise-Expansion
A236,Rosemary Systems,rosemarysystems.ai,Telecom,<$1M,US-West,False,Enterprise-Expansion
A237,Chert Mind,chertmind.dev,Telecom,$250M+,US-West,False,AI-Native
A238,Feldspar Robotics,feldsparrobotics.com,Logistics,$1M-$10M,APAC,False,AI-Native
A239,Kestrel Vision,kestrelvision.ai,Logistics,$10M-$50M,US-West,True,Enterprise-Expansion
A240,Tamarack Genomics,tamarackgenomics.io,Telecom,$10M-$50M,US-Central,True,AI-Native
A241,Saffron Data,saffrondata.dev,Energy,$250M+,US-West,False,AI-Native
A242,Stride Systems,stridesystems.dev,DevTools,$1M-$10M,US-East,False,AI-Native
A243,Wisteria Genomics,wisteriagenomics.ai,Manufacturing,$1M-$10M,US-Central,False,Enterprise-Expansion
A244,Lupine Systems,lupinesystems.io,Manufacturing,$50M-$250M,US-East,False,Enterprise-Expansion
A245,Verge Vision,vergevision.io,E-commerce,$10M-$50M,APAC,False,Enterprise-Expansion
A246,Cinder Mind,cindermind.dev,FinTech,$10M-$50M,APAC,False,Enterprise-Expansion
A247,Sentinel Pay,sentinelpay.io,HealthTech,<$1M,EMEA,True,Enterprise-Expansion
A248,Reed Grid,reedgrid.io,HR Tech,$10M-$50M,US-West,False,AI-Native
A249,Juniper Intelligence,juniperintelligence.co,Manufacturing,$10M-$50M,APAC,False,AI-Native
A250,Osprey Scale,ospreyscale.co,Cybersecurity,$1M-$10M,APAC,False,AI-Native
A251,Solace Build,solacebuild.dev,InsurTech,$50M-$250M,EMEA,False,AI-Native
A252,Vantage Grid,vantagegrid.ai,Energy,$10M-$50M,APAC,False,Enterprise-Expansion
A253,Pioneer Scale,pioneerscale.dev,Logistics,$1M-$10M,US-East,False,Enterprise-Expansion
A254,Zenith Scale,zenithscale.co,LegalTech,$250M+,APAC,False,AI-Native
A255,Tundra Cloud,tundracloud.ai,LegalTech,$10M-$50M,EMEA,False,AI-Native
A256,Tamarack Robotics,tamarackrobotics.dev,AI/ML,<$1M,EMEA,True,AI-Native
A257,Dell Intelligence,dellintelligence.co,HealthTech,$250M+,APAC,False,Enterprise-Expansion
A258,Zinnia Secure,zinniasecure.dev,Energy,$10M-$50M,EMEA,False,Enterprise-Expansion
A259,Quagga AI,quaggaai.ai,Telecom,<$1M,APAC,False,Enterprise-Expansion
A260,Lumen Intelligence,lumenintelligence.dev,Education,$1M-$10M,US-Central,True,Enterprise-Expansion
A261,Marrow Robotics,marrowrobotics.co,HealthTech,$1M-$10M,APAC,True,AI-Native
A262,Rivulet AI,rivuletai.ai,Media,$1M-$10M,EMEA,False,AI-Native
A263,Alabaster Robotics,alabasterrobotics.co,HR Tech,<$1M,APAC,False,AI-Native
A264,Nutmeg Vision,nutmegvision.dev,Media,$10M-$50M,EMEA,False,Enterprise-Expansion
A265,Ginkgo Vision,ginkgovision.ai,Telecom,$10M-$50M,APAC,False,AI-Native
A266,Garnet Pay,garnetpay.ai,Cybersecurity,$10M-$50M,APAC,False,AI-Native
A267,Urchin Vision,urchinvision.ai,Logistics,$10M-$50M,EMEA,False,AI-Native
A268,Quinoa Genomics,quinoagenomics.co,HR Tech,$10M-$50M,EMEA,False,Enterprise-Expansion
A269,Helix Build,helixbuild.ai,InsurTech,$50M-$250M,US-East,False,Enterprise-Expansion
A270,Xylem Flow,xylemflow.ai,InsurTech,$250M+,APAC,False,AI-Native
A271,Evergreen Health,evergreenhealth.dev,Cybersecurity,$1M-$10M,US-East,True,AI-Native
A272,Alabaster Vision,alabastervision.com,Telecom,$1M-$10M,EMEA,True,AI-Native
A273,Russet Flow,russetflow.ai,DevTools,<$1M,APAC,True,AI-Native
A274,Ginkgo Labs,ginkgolabs.co,InsurTech,$1M-$10M,US-West,True,Enterprise-Expansion
A275,Vermilion Secure,vermilionsecure.com,AI/ML,$10M-$50M,US-Central,True,Enterprise-Expansion
A276,Jute Robotics,juterobotics.io,HR Tech,$250M+,EMEA,False,Enterprise-Expansion
A277,Sable Cloud,sablecloud.io,Energy,$50M-$250M,US-Central,False,AI-Native
A278,Aether Vision,aethervision.dev,Telecom,$1M-$10M,US-Central,False,Enterprise-Expansion
A279,Ecru Robotics,ecrurobotics.com,Media,<$1M,US-Central,False,AI-Native
A280,Russet Vision,russetvision.com,DevTools,$50M-$250M,APAC,False,Enterprise-Expansion
A281,Lariat Vision,lariatvision.dev,Energy,$250M+,US-Central,True,Enterprise-Expansion
A282,Knot Health,knothealth.com,Manufacturing,$10M-$50M,US-East,False,Enterprise-Expansion
A283,Yarrow Build,yarrowbuild.ai,E-commerce,$250M+,US-East,False,AI-Native
A284,Drift Intelligence,driftintelligence.co,Energy,$250M+,US-West,False,Enterprise-Expansion
A285,Kudzu Intelligence,kudzuintelligence.io,LegalTech,$1M-$10M,APAC,True,Enterprise-Expansion
A286,Fig Mind,figmind.dev,FinTech,<$1M,US-East,False,AI-Native
A287,Lark Vision,larkvision.co,FinTech,$1M-$10M,APAC,False,AI-Native
A288,Almond Networks,almondnetworks.co,HealthTech,$250M+,US-East,False,Enterprise-Expansion
A289,Nutmeg Networks,nutmegnetworks.com,Media,$10M-$50M,US-Central,True,AI-Native
A290,Saffron Systems,saffronsystems.co,E-commerce,<$1M,US-East,True,AI-Native
A291,Quartz Grid,quartzgrid.io,LegalTech,$50M-$250M,US-West,False,Enterprise-Expansion
A292,Jet Scale,jetscale.com,Telecom,$250M+,EMEA,False,Enterprise-Expansion
